"2017-04-13 09:47:58 [restartedMain] INFO  c.c.web.config.QuizWarApplication - Starting QuizWarApplication on yuXiaoyangdeMacBook-Pro.local with PID 2353 (/Users/boxiao/working/alt/src/github/quiz/quiz-webapp/target/classes started by boxiao in /Users/boxiao/working/alt/src/github/quiz/quiz-webapp)
""2017-04-13 09:47:58 [restartedMain] DEBUG c.c.web.config.QuizWarApplication - Running with Spring Boot v1.5.2.RELEASE, Spring v4.3.7.RELEASE
""2017-04-13 09:47:58 [restartedMain] INFO  c.c.web.config.QuizWarApplication - No active profile set, falling back to default profiles: default
""2017-04-13 09:47:58 [restartedMain] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@24f70fd0: startup date [Thu Apr 13 09:47:58 CST 2017]; root of context hierarchy
""2017-04-13 09:47:59 [restartedMain] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'dataSource' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Dbcp2; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Dbcp2.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Tomcat; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Tomcat.class]]
""2017-04-13 09:47:59 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$c1d6e1a7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2017-04-13 09:47:59 [restartedMain] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http)
""2017-04-13 09:47:59 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service Tomcat
""2017-04-13 09:47:59 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.11
""2017-04-13 09:47:59 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2017-04-13 09:48:00 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
""2017-04-13 09:48:00 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
""2017-04-13 09:48:00 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
""2017-04-13 09:48:00 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
""2017-04-13 09:48:00 [localhost-startStop-1] INFO  o.s.b.w.s.DelegatingFilterProxyRegistrationBean - Mapping filter: 'springSecurityFilterChain' to: [/*]
""2017-04-13 09:48:00 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
""2017-04-13 09:48:00 [restartedMain] INFO  c.c.web.controller.QuizController - Start to initialize the questions MAP
""2017-04-13 09:48:00 [restartedMain] INFO  c.c.web.controller.QuizController - The questions MAP has been initialized
""2017-04-13 09:48:00 [restartedMain] WARN  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'quizDao': Unsatisfied dependency expressed through field 'dataSource'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'org.apache.commons.dbcp2.BasicDataSource' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
""2017-04-13 09:48:00 [restartedMain] INFO  o.a.catalina.core.StandardService - Stopping service Tomcat
""2017-04-13 09:48:00 [restartedMain] WARN  o.s.boot.SpringApplication - Error handling failed (Error creating bean with name 'delegatingApplicationListener' defined in class path resource [org/springframework/security/config/annotation/web/configuration/WebSecurityConfiguration.class]: Initialization of bean failed; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration': Initialization of bean failed; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No bean named 'org.springframework.context.annotation.ConfigurationClassPostProcessor.importRegistry' available)
""2017-04-13 09:48:00 [restartedMain] ERROR o.s.b.d.LoggingFailureAnalysisReporter - 

***************************
APPLICATION FAILED TO START
***************************

Description:

Field dataSource in cn.clubox.service.impl.dao.QuizDaoExt required a bean of type 'org.apache.commons.dbcp2.BasicDataSource' that could not be found.


Action:

Consider defining a bean of type 'org.apache.commons.dbcp2.BasicDataSource' in your configuration.

""2017-04-13 10:28:34 [restartedMain] INFO  c.c.web.config.QuizWarApplication - Starting QuizWarApplication on yuXiaoyangdeMacBook-Pro.local with PID 2493 (/Users/boxiao/working/alt/src/github/quiz/quiz-webapp/target/classes started by boxiao in /Users/boxiao/working/alt/src/github/quiz/quiz-webapp)
""2017-04-13 10:28:34 [restartedMain] DEBUG c.c.web.config.QuizWarApplication - Running with Spring Boot v1.5.2.RELEASE, Spring v4.3.7.RELEASE
""2017-04-13 10:28:34 [restartedMain] INFO  c.c.web.config.QuizWarApplication - No active profile set, falling back to default profiles: default
""2017-04-13 10:28:35 [restartedMain] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@51c62571: startup date [Thu Apr 13 10:28:35 CST 2017]; root of context hierarchy
""2017-04-13 10:28:36 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$c157e360] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
